id,name,tmin,tmax,latentHeat,meltingPointK,boilingPointK,flashPointK,safetyRating,cost
PCM-001,n-hexane,100,300,152,178,341,247.15,1,12.5
PCM-002,2-methyl pentane (isohexane),100,300,73,120,333,285,0.87,9.8
PCM-003,n-heptane,100,300,139,183,371,269.15,1,15
PCM-004,Butanone,100,300,116,187,352,264.261,1,14.9
PCM-005,Pentanone,100,300,123,196,374,280.372,0.92,16.2
PCM-006,Methanol,100,300,99,176,338,284.15,0.879,17.4
PCM-007,Ethanol ,100,300,106,159,351,285.15,0.868,18.7
PCM-008,isopropanol,100,300,92,174,356,285.15,0.867,19.9
PCM-009,1-Propanol,100,300,88,147,370,295.15,0.759,21.2
PCM-010,Allyl alcohol,100,300,88,144,370,294.261,0.769,22.4
PCM-011,Amyl alcohol,100,300,97,194,411,318.706,0.405,23.7
PCM-012,24 wt.% LiCl ,100,300,173,206,373-*,NA,0,24.9
PCM-013,ZnCl2 (51 % wt)/H2O,100,300,117,211,373*,NA,0,26.2
PCM-014,E-65,100,300,240,208,373*,NA,0,27.4
PCM-015,E-74,100,300,230,199,373*,NA,0,28.7
PCM-016,HS65N,100,300,172,208,373*,NA,0,29.9
PCM-017,TESLAB NTU,100,300,86,155,No info,No info,No info,31.2
PCM-018,BCES Cryo4,100,300,62,110,336.4,No info,No info,32.4
PCM-019,BCES Cryo5,100,300,76,105,293.15,No info,No info,33.7
PCM-020,BCES Cryo6,100,300,85,108,303.15,No info,No info,34.9
